PARTIDO,BSV vs AT.C. NAROVELLA,RESULTADO,67-55,FECHA,15/02/26-20:00h
Numero,Jugador,Minutos,Puntos,T2_Convertidos,T3_Convertidos,TL_Convertidos,TL_Intentados,TL_Porcentaje,Faltas_Personales,Plus_Minus
4,Raúl Mestre Lleida,03:38,6,2,0,2,2,100,0,-5
5,Francisco Jesús Puertollano García,21:21,4,0,0,4,8,50,2,4
7,Carlos Aparicio Nieto,30:04,14,3,1,5,10,50,1,12
19,Pablo García Pedro,19:38,2,0,0,2,2,100,4,5
21,Hernán Martín D'Amelio Acuña,31:20,5,1,1,0,0,0,0,9
44,Dmytro Khomenko,36:32,29,4,5,6,8,75,2,16
46,Sergei Kostromin,29:05,0,0,0,0,0,0,1,4
66,Juan Ignacio Vieytes,28:22,7,2,1,0,0,0,1,15
TOTAL,,200:00,67,12,8,19,30,63,11,60
