#,Jugador,Minutos,Puntos,TL (A/I),%TL,T2,T3,Faltas,+/-
1,Gregorio Freda,29:58,10,4/8,50%,3,0,1,0
9,Federico Juanicotena,15:04,0,0/0,0%,0,0,4,0
11,Ricardo César Juanicotena,35:02,9,2/4,50%,2,1,4,0
15,Jose Vicente González Cabrera,24:38,9,1/5,20%,4,0,0,0
19,Pablo Garcia Pedro,00:30,0,0/0,0%,0,0,0,0
21,Hernán Martín D'Amelio Acuña,22:31,3,0/0,0%,0,1,3,0
31,Oleksandr Sukhovyi,19:49,2,0/0,0%,1,0,4,0
44,Dmytro Khomenko,23:30,16,1/3,33%,6,1,3,0
46,Sergei Kostromin,28:58,3,1/2,50%,1,0,0,0
